query,id,Text,Text_processed,Sentiment,SentimentB
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371850751396446211,RT @DeshGujarat: SMC also orders schools/colleges/tuition classes to function only online barring for examinations. Covid test at entry poi…,rt deshgujarat smc also order schoolscollegestuition class function online barring examination covid test entry poi,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369911721255604227,RT @xo_anonymous_x: @DrRPNishank The decision of offline exams after improper education of online classes for a whole year isn't fair!It is…,rt xoanonymousx decision offline exam improper education online class whole year fairit,0.2,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371847115639504898,"@ElevatedBliss I agree. I'm a beginner &amp; I do what I can at home but I'd love to go in for instruction where I can get hands on help with form. But if you've been practicing for some time &amp; have a good home routine down, online classes could give a much needed break in covid monotony.😊🙏🏾",agree im beginner amp home id love go instruction get hand help form practicing time amp good home routine online class could give much needed break covid monotony,0.4666666666666666,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371376186094465027,"RT @dilshairRajper: Smart lock down in #Sindh once again. Last year at 26th February my University was closed, till now I'm at home. I got…",rt dilshairrajper smart lock last year th february university closed till im home got,0.038095238095238,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372010154338570243,RT @Ak73547889: @DrRPNishank We want online exam for class 9 And 11 . in Delhi. Due to covid-19 pandemic. Please help us . schools forceing…,rt ak want online exam class delhi due covid pandemic please help u school forceing,-0.125,-1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372128015589601280,@NsuiBudhiraja @NSUI_KUK @VC_kuk @cmohry @mlkhattar @highereduHRY @Neerajkundan @nsui @DeependerSHooda @INCHaryana @Allavaru @varunchoudhary2 @RockyRanaPehowa @BVishal_INC @srinivasiyc @HaryanaSiyasiDP @VC_kuk sir my parents are not signing on consistent letter because of increasing rate of covid in kkr. So if classes was online then exams will also be online.. #ONLINEEXAM,sir parent signing consistent letter increasing rate covid kr class online exam also online,0.25,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372731114654076929,OverAll 7 Listening 8.5 #DEEPTI_CLASSES #IDP #British_Council #IELTS #PEARSON #PTE #MePro #FRENCH #SPOKEN_ENGLISH #INTERVIEW_PREPARATION #OnLine #OffLine #Stay_Home #Stay_Safe #Covid-19 #Career_Counseling #Study_Abroad #Career_Goals #Success #Edcosmo_Education_Advisors https://t.co/XLM73oKRs0,overall listening,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371129417934733313,Is Jeff Azoff giving online PR master classes during Covid-19? Because this sounds like a familiar concept I have seen already this year. https://t.co/HFU7v7JQEU,jeff azoff giving online pr master class covid sound like familiar concept seen already year,0.3875,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372559695639109633,RT @usparacycling: Your feel-good story of the day! @CourageKennyAH intern Alex Mitchell has found a creative workaround to rehabilitation…,rt usparacycling feelgood story day intern alex mitchell found creative workaround rehabilitation,0.5,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371133322869506052,AND NOW COVID FUCKED ME UP AND I COULDNT TAKE AND FLOURISH IN CLASSES I USED TO IN BECAUSE I CANT GET MYSELF TO FOCUS BECAUSE ONLINE TASKS ARE MUNDANE TO ME ESPECIALLY IF IM NOT INTERETSED IN THE SUBJECT AND I WAS EXCITED TO TAKE CLASSES WHERE I COULD WORK,covid fucked take flourish class used cant get focus online task mundane especially im interetsed subject excited take class could work,-0.1116666666666666,-1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1370224950141935625,"3/10/2020
@UTAustin leaders said they didn’t believe it was necessary yet to switch to online classes given no known COVID-19 cases were in Travis County at that time. However UT began limiting international student travel as a precaution. https://t.co/hREtQQwVJj",utaustin leader said believe necessary yet switch online class given known covid case travis county time however ut began limiting international student travel precaution,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369422243869073408,"When the pandemic forced La Luz Centro Cultural to cancel its cooking classes, they realized that was the time local Latino chefs needed support the most. Latino-owned businesses have seen disproportionate economic impacts from COVID-19.

https://t.co/7C6T1oVVGf",pandemic forced la luz centro cultural cancel cooking class realized time local latino chef needed support latinoowned business seen disproportionate economic impact covid,-6.938893903907228e-18,-1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369557423753621505,When the #engineer you hired only attended online classes 🤣🤣🤣#zoomclass #COVID19 #Onlineclass #technology #science https://t.co/oGGQdiHmGz,hired attended online class zoomclass,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371328947179433986,"@TAMUSanAntonio hey guys I understood the reasoning behind no spring break, but with all the changes for the worst in our lives because of covid and us all struggling to deal with online classes not having a spring break was really not good on our mental health.",hey guy understood reasoning behind spring break change worst life covid u struggling deal online class spring break really good mental health,-0.1999999999999999,-1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371524418523004932,"RT @panjutha1: During pandemic, students were forced to give physical exams, although they took classes online. So, we’re demanding better…",rt panjutha pandemic student forced give physical exam although took class online demanding better,0.0666666666666666,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371887497148514312,"We are almost one year out from the day all classes at @oaklandu went remote. As we reflect on the year, we are so proud of the way our faculty responded. Here is a flashback to the response of @ousocan to #COVID19 https://t.co/1yBcFXaUKa",almost one year day class went remote reflect year proud way faculty responded flashback response,0.35,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1370319356190720001,"RT @CamdenCouncil: Pupils have returned to school for face-to-face classes this week 🏫

Find out more about the re-opening of schools, the…",rt camdencouncil pupil returned school facetoface class week find reopening school,0.0,0.0
